id,short_code,name,classification,type,size,color,description_main,description_extra,manufacturer,part_number
packaging_takeaway_container_rectangle_500_ml_nisbet_fiesta_small_dm181,,Packaging Takeaway Container Rectangle 500 Ml Nisbet Fiesta Small Dm181,packaging,takeaway_container_rectangle,500_ml,,,,nisbet_fiesta,small_dm181
wood_timber_cls_38_mm_width_63_mm_height_2400_mm_depth,,Wood Timber Cls 38 mm Width 63 mm Height 2400 mm Depth,wood,timber_cls,38_mm_width_63_mm_height_2400_mm_depth,,,,,
